file,N,Kendall Tau Diameter Correlation,Kendall Tau Diameter Pvalue,SRCC Diameter,SRCC Diameter Pvalue,Zscore of latest sample Diameter,P of no change in mean Diameter,Kendall Tau Weight Correlation,Kendall Tau Weight Pvalue,SRCC Weight,SRCC Weight Pvalue,Zscore of latest sample Weight,P of no change in mean Weight,Kendall Tau IV Correlation,Kendall Tau IV Pvalue,SRCC IV,SRCC IV Pvalue,Zscore of latest sample IV,P of no change in mean IV
360.0,3.0,1.0,0.3333333333333333,1.0,0.0,1.5917471646680508,0.11144152613952628,1.0,0.3333333333333333,1.0,0.0,0.8215978045739208,0.411305839211057,-1.0,0.3333333333333333,-1.0,0.0,-0.12542755357499982,0.9001850757585725
361.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.6501177069747662,0.5156161923216456,0.33333333333333337,1.0,0.5,0.6666666666666667,1.426776653550492,0.15364428265242566,-1.0,0.3333333333333333,-1.0,0.0,-1.1076119040114805,0.2680294601768577
362.0,3.0,1.0,0.3333333333333333,1.0,0.0,1.030658698782844,0.30270089912785103,1.0,0.3333333333333333,1.0,0.0,0.4415066374857558,0.6588462573698093,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.158016716953531,0.24685721449829512
363.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.15590196924133512,0.8761102930606119,1.0,0.3333333333333333,1.0,0.0,0.5635396751354551,0.5730674514722773,-1.0,0.3333333333333333,-1.0,0.0,-0.571339784454041,0.5677693382897719
364.0,3.0,1.0,0.3333333333333333,1.0,0.0,5.492384857898169,3.9654208101597174e-08,1.0,0.3333333333333333,1.0,0.0,4.5903538707397,4.42495161219603e-06,0.33333333333333337,1.0,0.5,0.6666666666666667,1.2089120603661425,0.22669663223568248
365.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.6280312721458057,0.5299834541332904,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.17057033594082227,0.8645616245444925,1.0,0.3333333333333333,1.0,0.0,0.4524080352333507,0.6509750594101567
366.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.3263963018526575,0.744124535157231,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.845106927451231,0.3980511408624854,0.33333333333333337,1.0,0.5,0.6666666666666667,0.36348724583918135,0.7162409387042055
367.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.23425737618765993,0.8147851741801816,-1.0,1.0,-0.9999999999999999,,-0.1882738168814586,0.8506620094079542,-1.0,1.0,-0.9999999999999999,,-1.7607948475777195,0.07827313224034761
368.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.9700316708426647,0.3320307058700067,-1.0,1.0,-0.9999999999999999,,-1.9421881517679807,0.05211432690245707,1.0,1.0,0.9999999999999999,,2.360104691401236,0.018269778334025856
369.0,2.0,1.0,1.0,0.9999999999999999,,0.7327261194998589,0.46372548995693197,-1.0,1.0,-0.9999999999999999,,-1.3285216838694236,0.184005825027593,1.0,1.0,0.9999999999999999,,0.9391302203935751,0.34766389005702214
370.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.7757430601104358,0.43790070977735573,-1.0,1.0,-0.9999999999999999,,-0.3013718729008751,0.7631309400387778,-1.0,1.0,-0.9999999999999999,,-5.2384084753014175,1.6196726488821652e-07
371.0,6.0,0.14907119849998599,0.6911022238448428,0.23904572186687875,0.648261294967307,-2.6120754602539598,0.008999438774651024,0.14907119849998599,0.6911022238448428,0.23904572186687875,0.648261294967307,-1.7549087869758617,0.07927491092474531,0.14907119849998599,0.6911022238448428,0.11952286093343938,0.8215694433207941,1.2683688969803173,0.2046662435096318
372.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.04928675220433295,0.9606907768969007,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.6663107784538824,0.09565153102959269,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.13628021805325588,0.8915997616818814
373.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.5510542752984398,0.5815964688493518,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-2.957313053508923,0.0031033286800184576,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.3531886246373856,0.7239470352905545
377.0,3.0,1.0,0.3333333333333333,1.0,0.0,1.814685607889525,0.06957223803334817,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-1.388985032009677,0.16483730161933818,-1.0,0.3333333333333333,-1.0,0.0,-4.243469076753533,2.200907132175719e-05
378.0,3.0,1.0,0.3333333333333333,1.0,0.0,2.5144438413320325,0.01192202883679637,-1.0,0.3333333333333333,-1.0,0.0,-0.6391180101398707,0.5227461644189404,1.0,0.3333333333333333,1.0,0.0,0.27947448246712236,0.7798807181990103
379.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.7720832678324596,0.44006511158508643,1.0,0.3333333333333333,1.0,0.0,1.8515016190293312,0.06409742203885208,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-2.298377864461366,0.0215402922420825
380.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.0945033322138702,0.9247093355699871,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.11740179009102114,0.906541665595987,-1.0,0.3333333333333333,-1.0,0.0,-0.18341117958271994,0.8544754046192106
381.0,3.0,1.0,0.3333333333333333,1.0,0.0,0.4171096856701485,0.6765981807235237,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.2239765645808771,0.8227755387620835,0.33333333333333337,1.0,0.5,0.6666666666666667,0.8308495389880134,0.40605863304665823
382.0,2.0,1.0,1.0,0.9999999999999999,,0.2938730912076447,0.7688548807713393,1.0,1.0,0.9999999999999999,,0.36356544065950824,0.7161825375090192,-1.0,1.0,-0.9999999999999999,,-1.277671165294408,0.2013653963183184
384.0,2.0,-1.0,1.0,-0.9999999999999999,,-1.2603296831014081,0.20755045629427793,-1.0,1.0,-0.9999999999999999,,-0.2303824757557067,0.8177945772667856,-1.0,1.0,-0.9999999999999999,,-0.17150727945359695,0.8638249070723261
385.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.2732834428664523,0.7846353417691824,1.0,0.3333333333333333,1.0,0.0,2.008966406170251,0.04454069652686133,-1.0,0.3333333333333333,-1.0,0.0,-1.2154306639027557,0.2242018786919332
387.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,1.18885540098944,0.23449657280494696,0.33333333333333337,1.0,0.5,0.6666666666666667,0.8221826905390516,0.4109729286894317,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.07444903334809405,0.9406530940547237
388.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.2968878639770928,0.7665521218177873,1.0,0.3333333333333333,1.0,0.0,0.46930099262511726,0.6388545058429094,-1.0,0.3333333333333333,-1.0,0.0,-0.5542209767950141,0.5794276240114113
389.0,2.0,1.0,1.0,0.9999999999999999,,4.208533324962901,2.570336256788483e-05,1.0,1.0,0.9999999999999999,,0.20904871907970862,0.8344102063930936,1.0,1.0,0.9999999999999999,,0.15316980970605334,0.8782643650689752
390.0,2.0,1.0,1.0,0.9999999999999999,,5.613181980427772,1.986395004425261e-08,1.0,1.0,0.9999999999999999,,1.8192572724177973,0.06887218878225485,1.0,1.0,0.9999999999999999,,3.8421548728992376,0.00012195883755090453
392.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.3376041955444136,0.7356614800549179,1.0,1.0,0.9999999999999999,,2.4473350111897036,0.014391699928224313,-1.0,1.0,-0.9999999999999999,,-0.5420203218238938,0.587804506454594
